Moving Time,Distance,Pace,WatchPace,Average Heart Rate,Max Heart Rate,Average Cadence,Max Cadence,Relative Effort,Calories,Elevation Gain
2310,4.99,7.72,07:43,145,156,78,82,17,426,0
1246,3.04,6.83,06:50,142,169,79,83,7,229,0
2599,7.1,6.1,06:06,156,166,81,85,53,548,0
3681,10.02,6.12,06:07,152,162,81,87,61,713,3
2829,7.64,6.17,06:10,148,183,81,89,28,528,3
4046,11.19,6.03,06:02,158,180,81,91,91,842,37
2068,6.32,5.45,05:27,166,191,82,86,65,519,3
1943,5.89,5.5,05:30,164,183,82,86,54,473,0
3099,8.66,5.96,05:58,164,188,83,86,89,739,9
1802,5.76,5.21,05:13,168,182,82,86,57,466,0
1663,6.12,4.53,04:32,186,194,85,91,104,522,0
2414,7.06,5.7,05:42,157,186,82,90,52,521,3
4002,11.41,5.85,05:51,156,181,81,89,76,807,3
4008,11.91,5.61,05:37,163,185,83,89,104,925,10
2985,10.11,4.92,04:55,178,186,85,88,136,873,3
4313,12.63,5.69,05:41,173,184,83,104,162,1180,25
4576,13.85,5.51,05:30,158,172,82,90,105,983,16
7632,21.1,6.03,06:02,159,169,81,84,184,1613,6
2789,8.46,5.49,05:30,165,194,84,101,80,697,22
4807,15.42,5.2,05:12,187,193,83,91,298,1519,146
2138,6.41,5.56,05:34,160,170,80,84,59,532,13
2967,9.07,5.45,05:27,163,178,83,88,89,753,13
3106,8.72,5.94,05:56,156,168,81,84,74,722,0
4360,10.55,6.89,06:53,150,180,82,84,81,883,3
2680,8.08,5.53,05:32,160,173,82,84,75,658,0
3024,9.05,5.57,05:34,163,196,83,91,90,782,0
3744,11.0,5.67,05:40,158,169,83,85,97,835,6
3203,10.25,5.21,05:12,170,196,84,93,127,890,13
2649,8.1,5.45,05:27,161,169,83,85,76,638,12
2335,7.12,5.47,05:28,162,170,83,85,67,585,0
3506,10.81,5.41,05:24,169,192,83,96,135,925,3
4328,12.15,5.94,05:56,158,198,82,102,113,978,23
1987,6.21,5.33,05:20,171,189,83,88,82,561,3
2375,7.74,5.11,05:07,170,190,83,89,94,659,0
2437,7.9,5.14,05:08,175,194,82,97,119,729,19
2250,7.19,5.22,05:13,179,192,84,87,121,703,0
2632,7.95,5.52,05:31,168,198,82,90,97,716,6
2361,7.43,5.3,05:18,166,184,80,83,85,631,6
7951,18.46,7.18,07:11,181,197,76,121,484,2431,1065
2692,8.07,5.56,05:34,160,168,81,84,77,639,3
1622,5.67,4.77,04:46,181,192,84,87,96,527,0
2349,7.38,5.3,05:18,160,172,84,89,65,570,9
2079,6.26,5.54,05:32,174,181,81,86,101,600,6
2331,7.08,5.49,05:29,167,185,81,88,83,626,9
3413,9.22,6.17,06:10,161,179,81,96,100,813,17
3287,9.73,5.63,05:38,169,194,81,96,130,900,3
2920,9.01,5.4,05:24,169,192,82,92,117,812,3
3440,10.03,5.72,05:43,169,188,81,87,134,918,19
1971,6.12,5.37,05:22,180,190,83,86,114,623,9
2970,8.2,6.04,06:02,164,172,82,85,93,745,6
3575,11.1,5.37,05:22,176,186,82,86,182,1058,9
845,2.21,6.37,06:22,158,163,80,83,21,275,3
4050,11.54,5.85,05:51,166,174,83,85,133,1027,6
2535,7.8,5.42,05:25,175,194,83,87,122,759,10
4090,11.4,5.98,05:59,160,176,82,85,115,952,13
2783,7.0,6.63,06:38,148,156,81,82,38,548,3
2669,7.49,5.94,05:56,159,166,82,84,71,623,6
2604,7.88,5.51,05:30,172,191,82,91,112,750,19
4756,13.31,5.96,05:57,157,187,82,89,122,1047,9
2776,7.89,5.86,05:52,160,173,81,83,80,660,9
2601,6.92,6.26,06:16,160,198,81,84,72,615,3
3010,8.2,6.12,06:07,157,169,81,84,80,696,0
3311,8.19,6.74,06:44,145,176,80,83,35,640,9
2705,7.6,5.93,05:56,159,209,82,85,73,660,0
2984,8.08,6.16,06:09,155,165,81,83,73,681,0
2551,6.34,6.71,06:42,137,174,79,82,12,443,6
2527,6.86,6.14,06:08,157,200,81,101,61,611,3
3181,8.02,6.61,06:37,149,167,80,82,55,660,12
3088,7.81,6.59,06:35,160,188,80,82,90,752,0
4185,9.41,7.41,07:25,142,168,79,82,35,869,0
4672,11.5,6.77,06:46,151,186,79,83,88,963,0
3967,9.0,7.35,07:21,140,162,78,81,19,700,9
3963,11.03,5.99,05:59,154,167,81,85,87,868,3
4641,11.54,6.7,06:42,147,155,79,82,54,904,3
3480,8.3,6.99,06:59,139,186,79,90,21,622,9
4523,10.82,6.97,06:58,142,156,79,82,31,827,0
4100,11.75,5.82,05:49,158,206,80,104,98,924,34
3852,9.24,6.95,06:57,140,179,79,81,24,668,3
3284,9.46,5.79,05:47,160,186,82,87,84,803,0
5356,12.95,6.89,06:54,145,174,79,82,52,1005,0
4482,12.75,5.86,05:52,152,189,81,87,82,953,0
2597,7.63,5.67,05:40,158,208,81,93,63,643,0
5102,12.65,6.72,06:43,149,221,79,82,75,1002,15
3469,9.43,6.13,06:08,165,203,81,99,107,883,10
3635,8.63,7.02,07:01,144,169,78,84,32,688,3
2734,7.27,6.27,06:16,150,181,80,87,44,559,0
3177,9.43,5.62,05:37,165,190,80,89,100,847,6
3456,10.5,5.49,05:29,170,190,81,85,131,967,0
580,1.6,6.04,06:02,153,187,80,83,12,153,0
545,1.6,5.68,05:41,155,208,81,84,12,88,0
580,1.63,5.93,05:56,150,204,81,173,10,134,3
603,1.68,5.98,05:59,152,213,81,94,11,143,6
1859,5.21,5.95,05:57,167,176,81,84,62,513,6
543,1.64,5.52,05:31,151,191,82,94,8,125,0
2426,6.46,6.26,06:16,152,191,80,82,45,524,3
3701,9.96,6.19,06:12,156,185,80,86,85,840,13
2319,7.45,5.19,05:11,168,191,83,86,82,642,3
2256,5.49,6.85,06:51,143,153,79,82,18,441,0
3012,7.48,6.71,06:43,152,178,79,82,53,689,9
2847,8.18,5.8,05:48,163,204,81,84,84,736,3
2032,5.28,6.41,06:25,153,171,80,86,40,444,20
7330,20.41,5.99,05:59,163,194,81,88,221,1780,50
3453,9.59,6.0,06:00,157,188,81,87,85,797,0
3747,10.32,6.05,06:03,159,173,81,85,96,879,13
3003,10.5,4.77,04:46,185,191,85,90,192,984,0
2405,6.99,5.73,05:44,161,172,83,85,67,604,3
2744,8.3,5.51,05:31,167,189,82,86,97,742,0
2311,7.53,5.12,05:07,172,189,82,87,101,678,3
3806,10.83,5.86,05:51,166,194,82,100,122,1005,178
4323,13.49,5.34,05:20,175,188,84,96,207,1250,106
3261,10.68,5.09,05:05,174,190,82,91,149,943,13
3070,7.63,6.71,06:42,146,164,79,81,32,604,4
7876,19.67,6.67,06:40,176,205,79,104,372,2233,730
3319,7.82,7.07,07:04,140,147,79,81,15,587,0
3572,10.19,5.84,05:51,155,178,82,85,83,793,0
2063,5.83,5.9,05:54,152,168,80,84,37,460,0
2023,7.16,4.71,04:43,178,187,85,88,107,614,3
6834,21.21,5.37,05:22,167,182,84,88,230,1715,35
2276,8.07,4.7,04:42,177,193,85,89,116,689,7
2625,7.67,5.7,05:42,161,202,82,86,73,642,0
3120,7.72,6.74,06:44,135,146,80,83,13,525,3
1305,4.96,4.39,04:23,185,194,86,91,81,451,0
3716,11.08,5.59,05:35,157,176,85,88,90,921,19
3163,9.89,5.33,05:20,169,189,85,88,116,855,0
2421,7.67,5.26,05:16,164,186,83,86,77,623,3
2615,7.63,5.71,05:43,154,183,81,84,56,573,3
3062,9.95,5.13,05:08,172,199,84,91,122,875,0
3109,8.64,6.0,05:60,154,162,82,84,68,671,6
2647,7.7,5.73,05:44,156,166,82,85,61,597,3
2551,8.32,5.11,05:07,173,195,84,89,112,734,0
3998,12.38,5.38,05:23,149,157,81,83,60,827,0
3486,7.61,7.63,07:38,125,149,72,84,13,483,0
3814,12.11,5.25,05:15,162,178,83,85,112,932,13
3306,10.37,5.31,05:19,153,165,83,86,62,706,0
2901,10.01,4.83,04:50,168,204,83,93,105,779,18
3172,10.02,5.28,05:17,151,164,83,87,54,683,3
3357,10.67,5.24,05:15,151,165,83,86,60,713,0
318,1.12,4.73,04:44,168,179,83,85,11,89,3
1274,4.98,4.26,04:16,186,194,86,93,82,429,0
795,2.27,5.84,05:50,162,168,82,85,23,204,0
4364,14.22,5.11,05:07,163,171,83,114,128,1053,6
2983,9.66,5.15,05:09,155,166,82,85,67,660,13
600,1.92,5.21,05:13,154,162,82,83,12,139,0
2581,8.4,5.12,05:07,167,188,83,90,93,662,0
3370,10.76,5.22,05:13,148,167,82,86,45,703,0
2710,8.41,5.37,05:22,154,167,82,85,59,602,0
1746,5.56,5.23,05:14,160,179,82,93,47,433,0
2963,8.44,5.85,05:51,142,153,81,83,18,561,0
3380,10.21,5.52,05:31,147,156,81,90,37,671,3
1450,4.56,5.3,05:18,152,159,82,84,26,326,3
362,0.89,6.78,06:47,150,157,81,83,5,81,0
531,1.09,8.12,08:07,169,181,77,104,19,176,0
2734,8.38,5.44,05:26,151,180,81,91,42,585,3
797,2.45,5.42,05:25,161,179,82,88,22,214,3
1217,4.93,4.11,04:07,186,194,87,92,76,423,0
709,2.17,5.45,05:27,160,175,83,88,19,189,0
5129,14.88,5.74,05:45,151,173,82,87,80,1152,16
2919,9.06,5.37,05:22,149,158,81,84,41,601,6
2369,6.33,6.24,06:14,145,155,80,82,23,474,0
2030,6.07,5.57,05:34,150,159,81,84,33,447,3
2649,8.31,5.31,05:19,160,178,81,83,71,646,6
2778,7.5,6.17,06:10,152,161,80,85,54,600,0
2662,8.08,5.49,05:29,164,178,83,85,81,676,0
3638,11.0,5.51,05:31,166,181,82,92,118,953,28
1365,4.94,4.61,04:36,183,202,83,88,77,460,0
824,2.12,6.48,06:29,166,187,80,85,26,230,0
2373,5.41,7.31,07:19,138,204,75,96,23,714,22
2929,8.39,5.82,05:49,154,165,80,81,63,641,7
2837,8.95,5.28,05:17,162,182,82,85,80,750,6
2863,9.0,5.3,05:18,171,180,81,84,112,785,13
3208,9.01,5.93,05:56,151,169,80,88,58,681,6
1350,5.01,4.49,04:29,183,199,84,87,77,447,0
3979,14.05,4.72,04:43,188,195,85,90,265,1327,21
5784,16.03,6.01,06:01,160,192,82,110,158,1369,16
2890,8.2,5.87,05:52,151,164,82,86,46,622,6
2172,6.38,5.67,05:40,155,166,81,85,48,487,7
3169,9.5,5.56,05:34,157,173,81,87,78,715,13
3125,9.45,5.51,05:31,157,170,82,91,76,708,6
3606,10.52,5.71,05:43,149,166,82,87,50,729,38
2737,8.2,5.56,05:34,150,162,82,87,43,576,13
3159,9.53,5.52,05:31,157,170,81,86,76,707,6
3371,10.4,5.4,05:24,154,167,82,86,68,723,9
2922,8.94,5.45,05:27,148,167,83,85,38,592,6
3326,9.9,5.6,05:36,165,172,83,89,104,826,16
2568,8.12,5.27,05:16,164,191,82,86,81,657,0
3043,8.79,5.77,05:46,146,153,82,85,31,588,10
3638,10.42,5.82,05:49,145,156,81,85,34,695,6
3783,11.82,5.33,05:20,156,181,83,87,80,852,3
3180,6.83,7.76,07:46,137,191,75,83,15,525,3
2892,7.61,6.33,06:20,148,168,81,84,39,586,0
3497,9.58,6.08,06:05,148,161,81,86,46,704,0
2945,8.27,5.94,05:56,152,160,82,84,55,620,3
3770,10.55,5.96,05:57,149,178,81,86,54,767,3
3637,10.29,5.89,05:53,153,168,82,86,68,771,0
2516,6.74,6.22,06:13,149,156,81,83,35,511,6
3459,10.35,5.57,05:34,161,189,81,86,100,825,9
3708,10.67,5.79,05:48,155,190,82,110,79,796,3
3193,8.91,5.97,05:58,146,160,82,85,35,619,6
3999,11.61,5.74,05:44,154,178,83,87,77,843,0
2477,6.0,6.88,06:53,167,176,80,84,83,632,3
